"name","dime_cid","cf_score","state","judge_type"
"McKenna, Sabrina S",NA,NA,"HI","state"
"Cady, Mark S",NA,NA,"IA","state"
"Wiggins, David S",4624034360,1.22712670640579,"IA","state"
"Hecht, Daryl L",5503024326,-0.84508705849059,"IA","state"
"Appel, Brent R",3173115868,-0.970095023040805,"IA","state"
"Mansfield, Edward",NA,NA,"IA","state"
"Waterman, Thomas",NA,NA,"IA","state"
"Zager, Bruce",NA,NA,"IA","state"
"Burdick, Roger S",3186149593,-0.0137608648835417,"ID","state"
"Eismann, Daniel T",3822472048,NA,"ID","state"
"Jones, James Thomas",NA,NA,"ID","state"
"Jones, Warren",NA,NA,"ID","state"
"Horton, Joel",3818422409,-0.340687980531004,"ID","state"
"Karmeier, Lloyd A",3820453469,0.492568352390294,"IL","state"
"Killbride, Thomas L",53127080964,NA,"IL","state"
"Freeman, Charles E",3820447536,NA,"IL","state"
"Thomas, Robert R",NA,NA,"IL","state"
"Garman, Rita B",53818444168,0.533914022422668,"IL","state"
"Burke, Anne M",53223149973,-0.630488033700309,"IL","state"
"Theis, Mary Jane",NA,NA,"IL","state"
"Moran, Thomas J",2516785406,0.545821910824574,"IL","state"
"David, Steven H",3118055787,0.646821105554867,"IN","state"
"Rucker, Robert D",2444756971,-1.53601081172937,"IN","state"
"Sullivan, Frank",2386697214,-0.674463373889288,"IN","state"
"Dickson, Brent E",NA,NA,"IN","state"
"Shepard, Randall T",2506780996,0.647083029464444,"IN","state"
"Nuss, Lawton R",2950999811,1.04066732843756,"KS","state"
"Luckert, Marla J",NA,NA,"KS","state"
"Beier, Carol A",52499779704,-0.807356804253587,"KS","state"
"Rosen, Eric S",NA,NA,"KS","state"
"Johnson, Lee A",NA,NA,"KS","state"
"Biles, Dan ",2712881451,-0.393193507935859,"KS","state"
"Moritz, Nancy",NA,NA,"KS","state"
"Lambert, Joseph Earl",2813940456,0.856483097344672,"KY","state"
"Scott, Will T",3818436025,0.769640659875989,"KY","state"
"Cunningham, William",NA,NA,"KY","state"
"Minton, John D",3096056032,0.426453668732723,"KY","state"
"Noble, Mary C",53822458942,-0.110458916838324,"KY","state"
"Schroder, William",NA,NA,"KY","state"
"Abramson, Lisabeth Hughes",53822468162,-0.0874413066894536,"KY","state"
"Venters, Daniel J",3822470442,0.340686011123294,"KY","state"
"Kimball, Catherine D",NA,NA,"LA","state"
"Johnson, Bernette Joshua",NA,NA,"LA","state"
"Victory, Jeffrey Paul",3822467058,NA,"LA","state"
"Knoll, Jeanette Theriot",NA,NA,"LA","state"
"Weimer, John L",3820440469,0.635002720873519,"LA","state"
"Clark, Marcus",3970017951,0.102355842561651,"LA","state"
"Guidry, Greg Gerard",3822462175,0.648695501219249,"LA","state"
"Ireland, Roderick L",NA,NA,"MA","state"
"Spina, Francis X",NA,NA,"MA","state"
"Cordy, Robert J",3266148064,0.282258329561017,"MA","state"
"Botsford, Margot",53085026758,-0.921035981244922,"MA","state"
"Gants, Ralph D",3789197495,-0.831168475269893,"MA","state"
"Duffly, Fernande R V",NA,NA,"MA","state"
"Lenk, Barbara A",53612209711,-0.813074638989611,"MA","state"
"Bell, Robert M",NA,NA,"MD","state"
"Battaglia, Lynne A",53193124021,-0.857477157438614,"MD","state"
"Harrell, Glenn T",2291642813,0.50514655833367,"MD","state"
"Greene, Clayton",3135093626,-0.575976021207534,"MD","state"
"Adkins, Sally D",52872966834,0.0484456017189671,"MD","state"
"Barbera, Mary Ellen",52493760369,-0.596904748488184,"MD","state"
"SAUFLEY, LEIGH I. ",NA,NA,"ME","state"
"ALEXANDER, DONALD G",NA,NA,"ME","state"
"LEVY, JON D.",2981998188,-0.909686454651134,"ME","state"
"SILVER, WARREN M.",5071312867,-0.965992306558958,"ME","state"
"MEAD, ANDREW M.",NA,NA,"ME","state"
"GORMAN, ELLEN A.",NA,NA,"ME","state"
"JABAR, JOSEPH M.",5794553628,-0.971884628647297,"ME","state"
"Young, Robert P",5724229984,0.918892281796509,"MI","state"
"Cavanagh, Michael F",3822460946,NA,"MI","state"
"Kelly, Marilyn",55724229485,-0.929896268831355,"MI","state"
"Markman, Stephen J",5724225043,0.853335157728121,"MI","state"
"Hathaway, Diane M",53067024179,-0.360155741542845,"MI","state"
"Kelly, Mary Beth",55724225519,NA,"MI","state"
"Zahra, Brian K",5724220406,0.90623067115134,"MI","state"
"Gildea, Lorie Skjerven",53820446642,NA,"MN","state"
"Page, Alan C",NA,NA,"MN","state"
"Anderson, Paul H",NA,NA,"MN","state"
"Meyer, Helen M",52653848710,-0.981220078039385,"MN","state"
"Anderson, G. Barry",3820452677,NA,"MN","state"
"Dietzen, Christopher J",2339663787,0.95438085344224,"MN","state"
"Stras, David",NA,NA,"MN","state"
"Teitleman, Richard B",3196134972,-0.481618098135124,"MO","state"
"Draper, George W III",NA,NA,"MO","state"
"Stith, Laura Denvir",52663855387,-0.791224738733416,"MO","state"
"Russell, Mary R",NA,NA,"MO","state"
"Breckenridge, Patricia",52584815626,0.815847758610255,"MO","state"
"Price, William Ray",NA,NA,"MO","state"
"Fischer, Zel M",5824573929,0.904294243914124,"MO","state"
"WALLER, WILLIAM L",3117062508,0.072681301634951,"MS","state"
"CARLSON, GEORGE C",3816420707,0.776962978424875,"MS","state"
"DICKINSON, JESS H",2843949587,1.11718467207607,"MS","state"
"RANDOLPH, MICHAEL K",5724237319,0.992468978387031,"MS","state"
"LAMAR, ANN HANNFORD",53818435785,1.08389959349958,"MS","state"
"KITCHENS, JAMES W",5734251590,-0.423654566897537,"MS","state"
"CHANDLER, DAVID A",NA,NA,"MS","state"
"PIERCE, RANDY G",5734254900,1.04939333176916,"MS","state"
"KING, LESLIE D",52866944834,NA,"MS","state"
"McGrath, Mike",5321762060,NA,"MT","state"
"Morris, Brian",2601831308,-0.974869487547459,"MT","state"
"Nelson, James C",3952999225,-0.663551576033308,"MT","state"
"Baker, Beth",53193125524,-0.88266712772769,"MT","state"
"Cotter, Patricia O'Brien",52576831013,-0.997777791366634,"MT","state"
"Rice, James A",3820440391,0.850898555633888,"MT","state"
"Wheat, Mike",3187135331,-0.990114294470597,"MT","state"
"Parker, Sarah",55201500536,-0.913658299923031,"NC","state"
"Martin, Mark D",2711879700,1.03136801236192,"NC","state"
"Edmunds, Bob J",3822466804,0.780777803684262,"NC","state"
"Newby, Paul Martin",3822455486,0.915587130142368,"NC","state"
"Timmons-Goodson, Patricia",54145351578,-1.03067702028969,"NC","state"
"Hudson, Robin E",53818419099,-1.02529144684829,"NC","state"
"Jackson, Barbara",53820443760,NA,"NC","state"
"VandeWalle, Gerald W.",NA,NA,"ND","state"
"Sandstrom, Dale V.",2459764175,1.52408662335064,"ND","state"
"Muehlen, Mary Maring",NA,NA,"ND","state"
"Kapsner, Caron Ronning",NA,NA,"ND","state"
"Crothers, Daniel J.",4927311099,1.43793566240765,"ND","state"
"Connolly, William M",2881956799,-0.744997425926247,"NE","state"
"Wright, John F",NA,NA,"NE","state"
"Gerrard, John M",3930825790,-0.697849165834544,"NE","state"
"McCormack, Michael",2707877797,-0.228897303486177,"NE","state"
"Stephan, Kenneth",3153099698,-0.46337323466036,"NE","state"
"Miller-Lerman, Lindsey",NA,NA,"NE","state"
"Heavican, Michael G",3788162953,1.04609083900739,"NE","state"
"Stewart Dalanis, Linda",NA,NA,"NH","state"
"Duggan, James E",2808932205,-0.836615946779857,"NH","state"
"Hicks, Gary E",2401736288,-0.966630793891723,"NH","state"
"Conboy, Carol Ann",NA,NA,"NH","state"
"Lynn, Robert J",NA,NA,"NH","state"
"LaVecchia, Jaynee",53346164293,0.35793906892289,"NJ","state"
"Long, Virginia",NA,NA,"NJ","state"
"Albin, Barry Todd",3332161670,-0.535627059234992,"NJ","state"
"Hoens, Helen E",53788140336,0.434373301932819,"NJ","state"
"Rabner, Stuart",NA,NA,"NJ","state"
"Stern, Edwin",NA,NA,"NJ","state"
"Wefing, Dorothea O'C",NA,NA,"NJ","state"
"Patterson, Anne M",53192121202,0.36943261761864,"NJ","state"
"Serna, Patricio M",3099052086,-0.914614148314678,"NM","state"
"Maes, Petra Jimenez",52585813035,-1.14902689210248,"NM","state"
"Kennedy, Paul J",4641044881,0.860934424969835,"NM","state"
"Bosson, Richard C",3917613257,-0.964101952893553,"NM","state"
"Chavez, Edward L",3818447188,NA,"NM","state"
"Daniels, Charles W",3818441351,-1.03804538607942,"NM","state"
"Saitta, Nancy M",53455200653,-1.1131080899914,"NV","state"
"Douglas, Michael L",2544801459,-0.602210485736163,"NV","state"
"Pickering, Kristina",52996006887,-0.0277345756443955,"NV","state"
"Gibbons, Mark",2688864293,0.503144350389958,"NV","state"
"Parraguirre, Ron",3818443714,0.382246315148668,"NV","state"
"Cherry, Michael",2442750193,-0.425829438065209,"NV","state"
"Hardesty, James W",2408722436,-0.391708685644569,"NV","state"
"Lippman, Jonathan",3192118305,NA,"NY","state"
"Ciparick, Carmen Beauchamp ",NA,NA,"NY","state"
"Graffeo, Victoria A.",53149104730,0.466135673907817,"NY","state"
"Read, Susan P.",52561816207,0.133411902892147,"NY","state"
"Smith, Robert S.",4698072787,0.534839876053446,"NY","state"
"Pigott, Eugene F. .",3082021658,0.587953888440807,"NY","state"
"Jones, Theodore T.",3148095090,NA,"NY","state"
"O'Connor, Maureen",53822473406,0.748727510807329,"OH","state"
"Pfeifer, Paul E",3822474871,0.23274146097765,"OH","state"
"Stratton, Evelyn Lundberg",55714139534,0.954342584527282,"OH","state"
"O'Donnell, Terrence",5714139287,NA,"OH","state"
"Lanzinger, Judith Ann",53780451343,0.6621328654837,"OH","state"
"Cupp, Robert R",5714138470,0.777935798807932,"OH","state"
"Brown, Yvette McGee",55714135081,-0.434402164507311,"OH","state"
"Smith, Clancy",NA,NA,"OK (crim)","state"
"Johnson, Charles A",4929326889,0.894047210519868,"OK (crim)","state"
"Lumpkin, Gary L",NA,NA,"OK (crim)","state"
"Johnson, Arlene",NA,NA,"OK (crim)","state"
"Lewis, David B",NA,NA,"OK (crim)","state"
"Kauger, Yvonne",NA,NA,"OK","state"
"Watt, Joseph Michael",NA,NA,"OK","state"
"Winchester, James R",NA,NA,"OK","state"
"Edmondson, James E",2269640770,0.42708306814466,"OK","state"
"Colbert, Thomas",NA,NA,"OK","state"
"Taylor, Steven W",NA,NA,"OK","state"
"Reif, John F",NA,NA,"OK","state"
"Combs, Douglas L",2775915782,-0.190011568592813,"OK","state"
"Gurich, Noma",NA,NA,"OK","state"
"DeMuniz, Paul J ",3818434134,-0.926488462767368,"OR","state"
"Durham, Robert D",NA,NA,"OR","state"
"Balmer, Thomas A",3223154553,-0.634126326295143,"OR","state"
"Kistler, Rives",3267150092,-1.02985798506548,"OR","state"
"Walters, Martha L",52643851624,-0.858079660453856,"OR","state"
"Linder, Virginia L",52710892817,-1.12026018949919,"OR","state"
"Landau, Jack",3818435696,-1.0040466934351,"OR","state"
"Castille, Ronald D.",5714143443,0.293097885648168,"PA","state"
"Saylor, Thomas",3192117209,0.739386888418777,"PA","state"
"Eakin, J. Michael",NA,NA,"PA","state"
"Baer, Max",3818419287,-0.525763257524597,"PA","state"
"Todd, Debra McCloskey",NA,NA,"PA","state"
"McCaffery, Seamus P.",NA,NA,"PA","state"
"Melvin, Joan Orie",NA,NA,"PA","state"
"Goldberg, Maureen McKenna",NA,NA,"RI","state"
"Flaherty, Francis X",4113314695,-0.763851356199529,"RI","state"
"Suttell, Paul A",NA,NA,"RI","state"
"Robinson III, William P",2463753859,-0.230641691222443,"RI","state"
"Indeglia, Gilbert V",NA,NA,"RI","state"
"Toal, Jean H",NA,NA,"SC","state"
"Pleicones, Costa M",3784670115,-0.616562426454131,"SC","state"
"Beatty, Donald W",NA,NA,"SC","state"
"Kittredge, John W",3195120178,1.0367293122551,"SC","state"
"Hearn, Kaye G",NA,NA,"SC","state"
"Gilbertson, David E",NA,NA,"SD","state"
"Konenkamp, John K",3822460039,NA,"SD","state"
"Zinter, Steven L",3710257404,1.1605541734193,"SD","state"
"Severson, Glen A",3212125911,0.429807719017506,"SD","state"
"Wilbur, Lori S",52984000234,0.581620146526909,"SD","state"
"Clark, Cornelia A",54894265495,-0.404526472925157,"TN","state"
"Holder, Janice M",52959995821,0.369651988104563,"TN","state"
"Koch, William C",3822460131,0.852876584746509,"TN","state"
"Lee, Sharon G",3944953967,NA,"TN","state"
"Wade, Gary R",5181475695,-0.155054210410744,"TN","state"
"Barker, William M",5533314880,-1.21400029150465,"TN","state"
"Birch, Adolpho A",2304660734,-0.400053875585857,"TN","state"
"Jefferson, Wallace B",2576824092,0.803536131713848,"TX","state"
"Willett, Don R",2446746356,1.16915767896712,"TX","state"
"Lehrmann, Debra",53111073512,1.19022116314638,"TX","state"
"Medina, David M",2722890836,0.923311944053831,"TX","state"
"Green, Paul W",2801930040,NA,"TX","state"
"Hecht, Nathan L",5824573799,1.01430622231696,"TX","state"
"Wainwright, Dale",2262635968,0.969829389788356,"TX","state"
"Johnson, Phil",4179400454,1.08028059158125,"TX","state"
"Guzman, Eva",NA,NA,"TX","state"
"Keller, Sharon",53173123013,1.00684276515797,"TX","state"
"Meyers, Lawrence E",2653850183,1.02261720026318,"TX","state"
"Price, Tom",2366683090,1.32591114638861,"TX","state"
"Womack, Paul",2548812288,1.02331840786024,"TX","state"
"Johnson, Cheryl",NA,NA,"TX","state"
"Keasler, Michael E",3002017790,1.16518740834313,"TX","state"
"Hervey, Barbara Parker",52999009560,1.08017679709499,"TX","state"
"Alcala, Elsa",53114063583,1.06919124075491,"TX","state"
"Cochran, Cathy",53141073339,-0.700183625100489,"TX","state"
"Durham, Christine M",NA,NA,"UT","state"
"Durrant, Matthew B",NA,NA,"UT","state"
"Nehring, Ronald",NA,NA,"UT","state"
"Parrish, Jill N",NA,NA,"UT","state"
"Lee, Thomas R",2642856767,0.715481487824559,"UT","state"
"Kinser, Cynthia D",NA,NA,"VA","state"
"Lemons, Donald W",NA,NA,"VA","state"
"Goodwyn, S. Bernard",NA,NA,"VA","state"
"Millette, LeRoy F",NA,NA,"VA","state"
"Mims, William C",3111056131,1.05208117631107,"VA","state"
"McClanahan, Elizabeth A",53269154673,0.916801792609503,"VA","state"
"Powell, Cleo E",NA,NA,"VA","state"
"Reiber, Paul L",2799922182,0.788578113588332,"VT","state"
"Dooley, John",NA,NA,"VT","state"
"Skoglund, Marilyn",NA,NA,"VT","state"
"Burgess, Brian L",NA,NA,"VT","state"
"Robinson, Beth",54924277171,-1.29578472261154,"VT","state"
"Johnson, Charles",2768916783,-0.712407362645749,"WA","state"
"Madsen, Barbara",52982005527,-0.995818088184725,"WA","state"
"Alexander, Gerry",2614834674,-0.605700075197565,"WA","state"
"Sanders, Richard",5201496970,0.676641870749835,"WA","state"
"Chambers, Tom",5191477342,NA,"WA","state"
"Owens, Susan",52365687227,-1.14319805194845,"WA","state"
"Fairhurst, Mary",53820447731,-1.13245867607773,"WA","state"
"Johnson, James",3818431054,0.989938653233602,"WA","state"
"Stephens, Debra",53110060393,-1.13844008793026,"WA","state"
"Wiggins, Charles",5261797281,-1.15608377480995,"WA","state"
"Abrahamson, Shirley S",55724235780,-1.19386945034405,"WI","state"
"Bradley, Ann Walsh",55724235319,-0.326639822899016,"WI","state"
"Crooks, N Patrick",5724235014,0.595549433176562,"WI","state"
"Roggensack, Patience D",55724234103,0.78930689486417,"WI","state"
"Ziegler, Annette K",54980619545,1.15448268738724,"WI","state"
"Prosser, David T",5724233695,0.965220962225098,"WI","state"
"Gableman, Mike",5724233485,NA,"WI","state"
"Davis, Robin",53818440565,NA,"WV","state"
"Benjamin, Brent D",3818425261,0.686337450940817,"WV","state"
"Ketchum, Menis",3818442696,-0.714689920368937,"WV","state"
"Workman, Margaret",53820451805,NA,"WV","state"
"McHugh, Thomas E",2507778029,-0.668840575269589,"WV","state"
"Golden, T Michael",NA,NA,"WY","state"
"Hill, William U",2335666202,1.06285275709618,"WY","state"
"Kite, Marilyn S",53285170536,0.875231353616978,"WY","state"
"Voigt, Barton",NA,NA,"WY","state"
"Burke, E James",3145088492,-1.1703124603463,"WY","state"
"Thomas G. Leone, Jr.",2960996202,0.207784836735202,"NY",""
"Patrick W. McAlpine (BV)",3181127953,-0.33215188266747,"AR",""
"Mark James McGinnis",2703866262,-1.19386945034405,"WI",""
"Donna Rose Milhouse",55201484750,-0.640644707884162,"MI",""
"Ernest R. Bennett",3182121445,1.22938398769098,"GA",""
"Linda Portnoy",52596830587,-1.25934123754309,"WA",""
"David Edgar Rakow",3196142947,1.17202493206183,"TX",""
"Jose Rodriguez",2960000093,-0.228464980617544,"NY",""
"Peter J. Birnbaum",4104312236,-0.559543643706642,"IL",""
"Earl W. Trent, Jr.",5754413837,-0.32369855941701,"PA",""
"Mary E. Triggiano",53247158098,-0.788266626286021,"WI",""
"Craig Richard Welling",2649855405,-0.961751840710882,"CO",""
"Elliot L. Daum",4145352740,-1.35789302564398,"CA",""
"David R. Dinkleman",3779470082,1.22164224989688,"MI",""
"Lynda C. Eaton",52453751522,-0.859811566186436,"WA",""
" Deborah G. Ford",53097061538,-0.831632566088034,"MI",""
"Paul J. Gallagher",3818444710,-0.511548645525075,"OH",""
"Beatriz M. G. Gordon",80350340261,-0.263133632202992,"CA",""
"Charles Hayden",2592827686,-0.598758730770593,"PA",""
"Sanborn N. Ball",2614826321,-0.522096019407024,"MO",""
"Stephen M. Daniels",29175918279,0.50596746024515,"DC",""
"Robert N. Davis",29105818559,0.368804178981979,"DC",""
"John M. Facciola",3806322398,NA,"DC",""
"John J. Farley, III",2815934745,1.13686757304676,"DC",""
"Monroe E. Freeman, Jr.",2437722688,-1.53601081172937,"DC",""
"Joseph R. Goeke",4196399615,1.06235487425374,"DC",""
"Emily Hewitt",52939986052,-1.09942684312658,"DC",""
"John C. Holmes",2874959171,0.508742517710125,"DC",""
"Donald L. Ivers",3722261908,1.04088265116245,"DC",""
"Elena Kagan",55432803060,-1.10140093619915,"DC",""
"Alex S. Karlin",3259154278,-0.884924455265012,"DC",""
"Ruth L. Kleinfeld",55201507975,-0.928044748740531,"DC",""
"John Lane, Jr.",2758905412,-0.507385942101422,"DC",""
"Edward Terhune Miller",29356194149,-0.313904771060276,"DC",""
"George W. Miller",4772177464,0.69691881304728,"DC",""
"Brenda P. Murray",52747911435,-1.40312553166677,"DC",""
"Elizabeth Crewson Paris",53425189438,NA,"DC",""
"Charles Bechhoefer",4074310222,NA,"DC",""
"Renato Beghe",3788043674,0.298177024579837,"DC",""
"John G. Roberts, Jr.",31552306764,0.615698612155254,"DC",""
"James Robertson",2352689816,-0.867601204502802,"DC",""
"Margaret A. Ryan",52831946525,0.75355041557465,"DC",""
"Peter D. Ting",3261178430,1.14117575430394,"DC",""
"Isaac D. Benkin",3788034424,-0.821558836879471,"DC",""
"John M. Vittone",30938746011,-0.83190368797577,"DC",""
"Avram Weisberger",2586822676,-0.620080468109291,"DC",""
"Victor J. Wolski",2813932242,1.04172441958786,"DC",""
"Ronnie A. Yoder",3066028968,-1.2728092374739,"DC",""
"Lawrence J. Block",26491732273,NA,"DC",""
"E. Cooper Brown",5684097867,-1.17687473004823,"DC",""
"Harry D. Brown",3270161328,-0.42782583435607,"DC",""
"Eric G. Bruggink",3765375313,1.36419784398936,"DC",""
"Carolyn P. Chiechi",53768406617,0.205449774156129,"DC",""
